record_id,material_name,fold_id,train_positive_rows,train_background_rows,test_positive_rows,test_background_rows,train_spatial_groups,test_spatial_groups,train_test_groups_disjoint,purge_distance_km,minimum_test_positive_to_training_positive_km,test_sentinel_complete_rate,baseline_roc_auc,sentinel2_roc_auc,delta_roc_auc,baseline_average_precision,sentinel2_average_precision,baseline_recall_at_background_top5pct,sentinel2_recall_at_background_top5pct,experiment_version
S2-ABL-IRON-F1,Iron,1,124,3570,18,816,258,59,True,50.00000000,50.88584485,0.97961631,0.75667211,0.75149782,-0.00517429,0.05579396,0.06210687,0.16666667,0.16666667,sentinel2-spatial-ablation-v0.1
S2-ABL-IRON-F2,Iron,2,81,3481,64,900,255,62,True,50.00000000,56.77803891,0.95746888,0.85296875,0.72104167,-0.13192708,0.23842746,0.23903201,0.09375000,0.35937500,sentinel2-spatial-ablation-v0.1
S2-ABL-IRON-F3,Iron,3,123,3566,17,833,252,65,True,50.00000000,50.81287473,0.97176471,0.75799732,0.75354848,-0.00444884,0.03983627,0.04680565,0.05882353,0.11764706,sentinel2-spatial-ablation-v0.1
S2-ABL-IRON-F4,Iron,4,105,3488,38,874,252,65,True,50.00000000,56.61463862,0.96271930,0.81660243,0.82148019,0.00487776,0.13396540,0.15609020,0.23684211,0.28947368,sentinel2-spatial-ablation-v0.1
S2-ABL-IRON-F5,Iron,5,136,3389,10,987,251,66,True,50.00000000,62.76051076,0.98094283,0.69898683,0.68247214,-0.01651469,0.01672362,0.01608389,0.00000000,0.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-MANGANESE-F1,Manganese,1,37,2025,37,543,247,66,True,50.00000000,71.58810631,0.97758621,0.84809119,0.77273406,-0.07535713,0.16955708,0.12139219,0.00000000,0.02702703,sentinel2-spatial-ablation-v0.1
S2-ABL-MANGANESE-F2,Manganese,2,56,2060,26,512,255,58,True,50.00000000,62.14058956,0.95539033,0.85186298,0.80513822,-0.04672476,0.23152383,0.20691896,0.46153846,0.42307692,sentinel2-spatial-ablation-v0.1
S2-ABL-MANGANESE-F3,Manganese,3,53,2091,11,479,252,61,True,50.00000000,51.65622740,0.97142857,0.70639590,0.68419055,-0.02220535,0.15434277,0.15031883,0.18181818,0.18181818,sentinel2-spatial-ablation-v0.1
S2-ABL-MANGANESE-F4,Manganese,4,82,2026,4,546,250,63,True,50.00000000,58.13611881,0.97454545,0.91117216,0.86034799,-0.05082418,0.08368455,0.06294021,0.25000000,0.25000000,sentinel2-spatial-ablation-v0.1
S2-ABL-MANGANESE-F5,Manganese,5,75,2073,8,500,248,65,True,50.00000000,58.13611881,0.97244094,0.84300000,0.80100000,-0.04200000,0.07316182,0.07432700,0.25000000,0.25000000,sentinel2-spatial-ablation-v0.1
S2-ABL-CHROMIUM-F1,Chromium,1,15,801,3,198,226,57,True,50.00000000,50.66605829,0.98009950,0.93771044,0.94276094,0.00505051,0.69166667,0.69369369,0.66666667,0.66666667,sentinel2-spatial-ablation-v0.1
S2-ABL-CHROMIUM-F2,Chromium,2,17,813,3,187,226,57,True,50.00000000,50.66605829,0.96315789,0.78253119,0.76114082,-0.02139037,0.20230769,0.19083607,0.33333333,0.33333333,sentinel2-spatial-ablation-v0.1
S2-ABL-CHROMIUM-F3,Chromium,3,12,783,5,216,227,56,True,50.00000000,53.49443562,0.97285068,0.93888889,0.94074074,0.00185185,0.21872200,0.19850441,0.40000000,0.40000000,sentinel2-spatial-ablation-v0.1
S2-ABL-CHROMIUM-F4,Chromium,4,18,785,2,215,226,57,True,50.00000000,119.97382242,0.97695853,0.97209302,0.97441860,0.00232558,0.19642857,0.21111111,1.00000000,1.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-CHROMIUM-F5,Chromium,5,11,814,7,184,227,56,True,50.00000000,56.68464125,0.97382199,0.96894410,0.93400621,-0.03493789,0.48164574,0.44944629,0.85714286,0.57142857,sentinel2-spatial-ablation-v0.1
S2-ABL-LEAD-F1,Lead,1,19,806,11,189,231,56,True,50.00000000,164.97430747,0.98000000,0.51611352,0.58730159,0.07118807,0.05956939,0.06937315,0.00000000,0.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-LEAD-F2,Lead,2,18,813,11,182,231,56,True,50.00000000,67.14351624,0.95336788,0.68781219,0.74475524,0.05694306,0.12891027,0.13630266,0.00000000,0.09090909,sentinel2-spatial-ablation-v0.1
S2-ABL-LEAD-F3,Lead,3,25,768,3,230,230,57,True,50.00000000,94.54590716,0.95278970,0.73768116,0.75072464,0.01304348,0.03978836,0.04565297,0.00000000,0.33333333,sentinel2-spatial-ablation-v0.1
S2-ABL-LEAD-F4,Lead,4,28,794,2,205,227,60,True,50.00000000,114.01646580,0.97584541,0.51951220,0.46341463,-0.05609756,0.02651515,0.03121775,0.00000000,0.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-LEAD-F5,Lead,5,25,806,3,194,229,58,True,50.00000000,67.14351624,0.97461929,0.86597938,0.87628866,0.01030928,0.08137084,0.10279720,0.33333333,0.33333333,sentinel2-spatial-ablation-v0.1
S2-ABL-ZINC-F1,Zinc,1,19,777,2,221,234,57,True,50.00000000,229.98880804,0.95964126,0.56108597,0.64479638,0.08371041,0.01484341,0.01980676,0.00000000,0.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-ZINC-F2,Zinc,2,15,793,6,202,233,58,True,50.00000000,79.71082847,0.96153846,0.77970297,0.62211221,-0.15759076,0.10596847,0.04640018,0.33333333,0.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-ZINC-F3,Zinc,3,11,788,7,210,233,58,True,50.00000000,94.54590716,0.98156682,0.68843537,0.48843537,-0.20000000,0.07391708,0.04235843,0.00000000,0.14285714,sentinel2-spatial-ablation-v0.1
S2-ABL-ZINC-F4,Zinc,4,20,803,1,195,230,60,True,50.00000000,319.57453381,0.94897959,0.73846154,0.67692308,-0.06153846,0.01923077,0.01562500,0.00000000,0.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-ZINC-F5,Zinc,5,14,824,5,172,233,58,True,50.00000000,79.71082847,0.96045198,0.67441860,0.75232558,0.07790698,0.05408280,0.07086251,0.00000000,0.00000000,sentinel2-spatial-ablation-v0.1
