record_id,state_or_ut,block_name,mineral_source,normalized_material_ids_json,auction_date,concession_type_code,ibm_area_ha,review_scope,curated_candidate_count,document_selection_rule,document_match_status,selected_mbs_file_id,selected_mbs_title,selected_mbs_url,selected_mbs_pdf_sha256,selected_mbs_pdf_bytes,selected_mbs_pdf_page_count,mbs_area_ha,ibm_to_mbs_area_difference_pct,geometry_admission_status,geometry_admission_reason,source_portal_url,source_access_date,model_evidence_role,model_exclusion_reason
IBM-IMYB2024-AUCTION-021,Karnataka,"Block No. 04, HRG",Iron Ore,"[""element:iron"",""ore:iron-ore""]",2023-07-24,ML,40.04,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-022,Karnataka,Thimmanahalli Gold block,Gold,"[""element:gold""]",2023-08-21,CL,,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-023,Karnataka,Jaisinghpura North Block,Iron Ore,"[""element:iron"",""ore:iron-ore""]",2023-08-21,ML,298.59,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-024,Karnataka,Basavanagudda,Gold,"[""element:gold""]",2023-08-21,CL,2501.9,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-025,Karnataka,Nidodi Bauxite Block,Bauxite,"[""element:aluminium"",""ore:bauxite""]",2023-09-21,CL,52.82,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-026,Karnataka,Kuddarka Bauxite Block,Bauxite,"[""element:aluminium"",""ore:bauxite""]",2023-09-22,CL,52.0,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-027,Madhya Pradesh,Katni Limestone Block*(10A2b Case),Limestone,"[""group:calcium-and-limestone"",""rock:limestone""]",2023-09-05,ML,120.949,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-028,Madhya Pradesh,Pahari Limestone Block (10A2d Case),Limestone,"[""group:calcium-and-limestone"",""rock:limestone""]",2023-09-11,ML,100.144,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-029,Madhya Pradesh,Pipartola Manganese Ore Block*(10A2b Case),Manganese Ore,"[""element:manganese""]",2023-09-12,ML,4.653,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-030,Madhya Pradesh,Chorgadi-Puraina Limestone Block,Limestone,"[""group:calcium-and-limestone"",""rock:limestone""]",2023-09-06,ML,378.404,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
