record_id,material_name,fold_id,train_positive_rows,train_background_rows,test_positive_rows,test_background_rows,train_spatial_groups,test_spatial_groups,train_test_groups_disjoint,purge_distance_km,minimum_test_positive_to_training_positive_km,test_soil_complete_rate,baseline_roc_auc,soilgrids_roc_auc,delta_roc_auc,baseline_average_precision,soilgrids_average_precision,baseline_recall_at_background_top5pct,soilgrids_recall_at_background_top5pct,experiment_version
SOIL-ABL-ZINC-F1,Zinc,1,19,777,2,221,234,57,True,50.00000000,229.98880804,0.99551570,0.56108597,0.57918552,0.01809955,0.01484341,0.01600922,0.00000000,0.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-ZINC-F2,Zinc,2,15,793,6,202,233,58,True,50.00000000,79.71082847,1.00000000,0.77970297,0.65511551,-0.12458746,0.10596847,0.09838369,0.33333333,0.16666667,soilgrids-spatial-ablation-v0.1
SOIL-ABL-ZINC-F3,Zinc,3,11,788,7,210,233,58,True,50.00000000,94.54590716,1.00000000,0.68843537,0.65510204,-0.03333333,0.07391708,0.07138529,0.00000000,0.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-ZINC-F4,Zinc,4,20,803,1,195,230,60,True,50.00000000,319.57453381,0.98979592,0.73846154,0.82564103,0.08717949,0.01923077,0.02857143,0.00000000,0.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-ZINC-F5,Zinc,5,14,824,5,172,233,58,True,50.00000000,79.71082847,1.00000000,0.67441860,0.79883721,0.12441860,0.05408280,0.11275111,0.00000000,0.20000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-GOLD-F1,Gold,1,12,797,2,202,228,57,True,50.00000000,216.90306525,0.99019608,0.20297030,0.33663366,0.13366337,0.00916875,0.01093835,0.00000000,0.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-GOLD-F2,Gold,2,12,790,2,209,228,57,True,50.00000000,151.85635387,0.99052133,0.76794258,0.43779904,-0.33014354,0.03095238,0.02047937,0.00000000,0.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-GOLD-F3,Gold,3,8,803,6,196,231,54,True,50.00000000,83.28720839,0.99009901,0.71938776,0.56292517,-0.15646259,0.08299482,0.04265702,0.16666667,0.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-GOLD-F4,Gold,4,13,793,1,206,226,58,True,50.00000000,83.28720839,1.00000000,0.83495146,0.69902913,-0.13592233,0.02857143,0.01587302,0.00000000,0.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-GOLD-F5,Gold,5,11,812,3,187,226,59,True,50.00000000,193.04128855,0.99473684,0.23351159,0.32620321,0.09269162,0.01320271,0.01516675,0.00000000,0.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-SILVER-F1,Silver,1,15,822,5,178,231,59,True,50.00000000,82.56615404,1.00000000,0.78089888,0.61011236,-0.17078652,0.19833333,0.05324536,0.20000000,0.20000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-SILVER-F2,Silver,2,15,782,4,217,234,56,True,50.00000000,86.24381621,0.99547511,0.74423963,0.82834101,0.08410138,0.10011694,0.18648019,0.50000000,0.50000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-SILVER-F3,Silver,3,17,811,2,189,233,57,True,50.00000000,63.00246496,0.99476440,0.95238095,0.92328042,-0.02910053,0.14090909,0.16071429,1.00000000,0.50000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-SILVER-F4,Silver,4,13,786,7,211,233,57,True,50.00000000,167.26829095,0.99082569,0.21394719,0.43805010,0.22410291,0.02209865,0.03816649,0.00000000,0.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-SILVER-F5,Silver,5,18,792,2,205,229,61,True,50.00000000,82.56615404,0.99516908,0.54878049,0.53658537,-0.01219512,0.04417582,0.06790541,0.00000000,0.50000000,soilgrids-spatial-ablation-v0.1
